A/Cameroon/16v-9239/2016				EPI1333774		EPI1333775		
A/Catalonia/NSVH100553819/2017				EPI917083		EPI917082		
350220								
351304								
A/Catalonia/NSVH100545401/2017				EPI897571		EPI897570		
351262								
A/Kristianstad/1/2016	EPI842786	EPI842785	EPI842783	EPI842790	EPI842784	EPI842789		EPI842784
A/SaudiArabia/1127975090/2017				EPI1050877		EPI1050925		
A/Kyrgyzstan/27/2016				EPI917218		EPI917219		
353539								
A/Kosovo/990/2016				EPI1015787		EPI1015788		
350276								
351282								
A/Kosovo/1033/2016				EPI1015918		EPI1015919		
A/Bolivia/1093/2017	EPI1088129	EPI1088130	EPI1088128	EPI1088132	EPI1088125	EPI1088131		EPI1088125
A/Niger/4707/2017				EPI1050865		EPI1050866		
A/Niger/4776/2017				EPI1050869		EPI1050870		
A/Diyarbakir/1847/2016				EPI1013081		EPI1013082		
A/Tunisia/1709/2017				EPI991742		EPI991743		
362406								
362651								
361942								
A/Makhachkala/RII949S/2016	EPI886520		EPI886519	EPI886522	EPI886516	EPI886521		EPI886516
A/Kyrgyzstan/4/2017				EPI978690		EPI978691		
351215								
350366								
362794								
352957								
A/England/71480647/2017	EPI1112105	EPI1112106	EPI1112104	EPI1112108	EPI1112101	EPI1112107		EPI1112101
A/England/71480645/2017	EPI1112097	EPI1112098	EPI1112096	EPI1112100	EPI1112093	EPI1112099		EPI1112093
A/Tunisia/1591/2017				EPI991736		EPI991737		
353209								
A/SantaCatarina/209/2017	EPI1016919	EPI1016920	EPI1016918	EPI1016922	EPI1016915	EPI1016921		EPI1016915
A/Bangladesh/3028/2017	EPI1017109	EPI1017110	EPI1017108	EPI1017112	EPI1017105	EPI1017111		EPI1017105
A/Kazakhstan/19/2017	EPI1079425	EPI1079426	EPI1079424	EPI1079428	EPI1079421	EPI1079427		EPI1079421
A/Ankara/416/2017				EPI1045261		EPI1045260		
A/Catalonia/NSVH100575604/2017				EPI943189		EPI943188		
351537								
A/Bremen/27/2017				EPI1040716		EPI1040717		
A/Austria/969780/2017				EPI998795		EPI998796		
A/Latvia/2-062187/2017				EPI1060908		EPI1060909		
353033								
A/Austria/961541/2016				EPI998505		EPI998506		
354547								
A/Oman/7492/2016				EPI978712		EPI978713		
A/Sweden/61/2016	EPI867396	EPI867395	EPI867393	EPI867400	EPI867394	EPI867399		EPI867394
A/SaudiArabia/193356/2016				EPI867276		EPI867277		
A/Sweden/96/2016	EPI884610		EPI884608	EPI884614	EPI884609	EPI884613		EPI884609
A/RheinlandPfalz/1/2017				EPI894980		EPI906211		
A/Venev/RII358S/2016	EPI886159	EPI886160	EPI886158	EPI886162	EPI886155	EPI886161		EPI886155
A/Novosibirsk/46/2017	EPI1039146	EPI1039147	EPI1039145	EPI1039149	EPI1039142	EPI1039148		EPI1039142
A/Petropavlovsk/ZVL589/2017				EPI1001918		EPI1001917		
A/England/65060436/2016	EPI1024043	EPI1024044	EPI1024042	EPI1024046	EPI1024039	EPI1024045		EPI1024039
A/Moscow/74/2017	EPI1038785	EPI1038786	EPI1038784	EPI1038788	EPI1038781	EPI1038787		EPI1038781
A/Vaparaiso/39896/2017				EPI1023704		EPI1023706		
A/Kazakhstan/69/2016	EPI972373	EPI972374	EPI972372	EPI972376	EPI972369	EPI972375		EPI972369
